# Output Voltage [V], Measured Voltage [V], Measured Voltage Sample Mean [V], Measured Voltage Sample Std [V], Frequency [MHz], Frequency Sample Mean [MHz], Frequency Sample Std [MHz]
0.000000,0.002000,0.002000,0.000000,129.370000,129.370000,0.000000
0.040404,0.040000,0.040000,0.000000,129.370000,129.370000,0.000000
0.080808,0.081000,0.081000,0.000000,129.650000,129.463000,0.132000
0.121212,0.121000,0.121000,0.000000,129.980000,129.592000,0.251000
0.161616,0.161000,0.161000,0.000000,130.310000,129.736000,0.365000
0.202020,0.202000,0.202000,0.000000,130.310000,129.832000,0.396000
0.242424,0.242000,0.242000,0.000000,130.640000,129.947000,0.463000
0.282828,0.282000,0.282000,0.000000,130.960000,130.074000,0.547000
0.323232,0.323000,0.323000,0.000000,131.290000,130.209000,0.642000
0.363636,0.363000,0.363000,0.000000,131.620000,130.350000,0.742000
0.404040,0.403000,0.403000,0.000000,131.950000,130.495000,0.844000
0.444444,0.445000,0.445000,0.000000,132.290000,130.645000,0.948000
0.484848,0.485000,0.485000,0.000000,132.640000,130.798000,1.055000
0.525253,0.525000,0.525000,0.000000,133.220000,130.971000,1.192000
0.565657,0.565000,0.565000,0.000000,133.220000,131.121000,1.281000
0.606061,0.606000,0.606000,0.000000,133.320000,131.259000,1.350000
0.646465,0.646000,0.646000,0.000000,133.660000,131.400000,1.426000
0.686869,0.686000,0.686000,0.000000,133.990000,131.544000,1.508000
0.727273,0.727000,0.727000,0.000000,134.330000,131.691000,1.594000
0.767677,0.767000,0.767000,0.000000,134.660000,131.839000,1.683000
0.808081,0.807000,0.807000,0.000000,135.000000,131.990000,1.775000
0.848485,0.849000,0.849000,0.000000,135.350000,132.142000,1.870000
0.888889,0.889000,0.889000,0.000000,135.690000,132.297000,1.967000
0.929293,0.929000,0.929000,0.000000,136.270000,132.462000,2.083000
0.969697,0.970000,0.970000,0.000000,136.270000,132.614000,2.173000
1.010101,1.010000,1.010000,0.000000,136.370000,132.759000,2.250000
1.050505,1.050000,1.050000,0.000000,136.700000,132.905000,2.330000
1.090909,1.090000,1.090000,0.000000,137.040000,133.052000,2.413000
1.131313,1.131000,1.131000,0.000000,137.380000,133.202000,2.499000
1.171717,1.171000,1.171000,0.000000,137.710000,133.352000,2.587000
1.212121,1.211000,1.211000,0.000000,138.060000,133.504000,2.677000
1.252525,1.253000,1.253000,0.000000,138.400000,133.657000,2.769000
1.292929,1.293000,1.293000,0.000000,138.770000,133.812000,2.865000
1.333333,1.333000,1.333000,0.000000,138.770000,133.958000,2.944000
1.373737,1.373000,1.373000,0.000000,139.120000,134.105000,3.026000
1.414141,1.414000,1.414000,0.000000,139.470000,134.254000,3.111000
1.454545,1.454000,1.454000,0.000000,139.810000,134.404000,3.199000
1.494949,1.495000,1.495000,0.000000,140.140000,134.555000,3.287000
1.535354,1.535000,1.535000,0.000000,140.480000,134.707000,3.377000
1.575758,1.575000,1.575000,0.000000,140.830000,134.860000,3.469000
1.616162,1.615000,1.615000,0.000000,141.180000,135.014000,3.562000
1.656566,1.657000,1.657000,0.000000,141.520000,135.169000,3.657000
1.696970,1.697000,1.697000,0.000000,141.870000,135.325000,3.752000
1.737374,1.738000,1.738000,0.000000,142.210000,135.482000,3.849000
1.777778,1.778000,1.778000,0.000000,142.550000,135.639000,3.946000
1.818182,1.818000,1.818000,0.000000,142.550000,135.789000,4.031000
1.858586,1.859000,1.859000,0.000000,142.900000,135.940000,4.118000
1.898990,1.899000,1.899000,0.000000,143.250000,136.092000,4.206000
1.939394,1.939000,1.939000,0.000000,143.600000,136.246000,4.296000
1.979798,1.980000,1.980000,0.000000,143.950000,136.400000,4.388000
2.020202,2.021000,2.021000,0.000000,144.300000,136.555000,4.480000
2.060606,2.062000,2.062000,0.000000,144.660000,136.711000,4.575000
2.101010,2.102000,2.102000,0.000000,145.030000,136.868000,4.670000
2.141414,2.142000,2.142000,0.000000,145.370000,137.025000,4.767000
2.181818,2.182000,2.182000,0.000000,145.710000,137.183000,4.864000
2.222222,2.223000,2.223000,0.000000,145.710000,137.335000,4.951000
2.262626,2.263000,2.263000,0.000000,146.070000,137.488000,5.039000
2.303030,2.303000,2.303000,0.000000,146.420000,137.642000,5.129000
2.343434,2.344000,2.344000,0.000000,146.760000,137.797000,5.220000
2.383838,2.382000,2.382000,0.000000,147.110000,137.952000,5.312000
2.424242,2.423000,2.423000,0.000000,147.450000,138.108000,5.404000
2.464646,2.464000,2.464000,0.000000,147.810000,138.264000,5.498000
2.505051,2.504000,2.504000,0.000000,148.170000,138.422000,5.593000
2.545455,2.544000,2.544000,0.000000,148.520000,138.579000,5.689000
2.585859,2.585000,2.585000,0.000000,149.130000,138.742000,5.792000
2.626263,2.625000,2.625000,0.000000,149.130000,138.899000,5.887000
2.666667,2.665000,2.665000,0.000000,149.240000,139.053000,5.976000
2.707071,2.706000,2.706000,0.000000,149.590000,139.208000,6.066000
2.747475,2.746000,2.746000,0.000000,149.930000,139.364000,6.156000
2.787879,2.787000,2.787000,0.000000,150.290000,139.520000,6.248000
2.828283,2.828000,2.828000,0.000000,150.630000,139.676000,6.341000
2.868687,2.868000,2.868000,0.000000,150.990000,139.833000,6.434000
2.909091,2.909000,2.909000,0.000000,151.330000,139.991000,6.528000
2.949495,2.949000,2.949000,0.000000,151.700000,140.149000,6.623000
2.989899,2.989000,2.989000,0.000000,152.050000,140.308000,6.719000
3.030303,3.029000,3.029000,0.000000,152.050000,140.462000,6.808000
3.070707,3.070000,3.070000,0.000000,152.410000,140.618000,6.897000
3.111111,3.110000,3.110000,0.000000,152.770000,140.773000,6.988000
3.151515,3.150000,3.150000,0.000000,153.120000,140.930000,7.079000
3.191919,3.191000,3.191000,0.000000,153.480000,141.086000,7.172000
3.232323,3.232000,3.232000,0.000000,153.820000,141.244000,7.265000
3.272727,3.272000,3.272000,0.000000,154.180000,141.401000,7.359000
3.313131,3.313000,3.313000,0.000000,154.530000,141.560000,7.453000
3.353535,3.353000,3.353000,0.000000,154.880000,141.718000,7.548000
3.393939,3.394000,3.394000,0.000000,155.240000,141.877000,7.644000
3.434343,3.434000,3.434000,0.000000,155.850000,142.040000,7.746000
3.474747,3.474000,3.474000,0.000000,155.850000,142.199000,7.840000
3.515152,3.514000,3.514000,0.000000,155.970000,142.355000,7.931000
3.555556,3.555000,3.555000,0.000000,156.330000,142.512000,8.023000
3.595960,3.596000,3.596000,0.000000,156.680000,142.669000,8.115000
3.636364,3.637000,3.637000,0.000000,157.050000,142.827000,8.209000
3.676768,3.677000,3.677000,0.000000,157.410000,142.986000,8.303000
3.717172,3.717000,3.717000,0.000000,157.770000,143.145000,8.398000
3.757576,3.757000,3.757000,0.000000,158.130000,143.304000,8.493000
3.797980,3.797000,3.797000,0.000000,158.480000,143.464000,8.589000
3.838384,3.838000,3.838000,0.000000,158.480000,143.621000,8.679000
3.878788,3.878000,3.878000,0.000000,158.830000,143.777000,8.770000
3.919192,3.918000,3.918000,0.000000,159.190000,143.935000,8.861000
3.959596,3.959000,3.959000,0.000000,159.540000,144.092000,8.954000
4.000000,4.000000,4.000000,0.000000,159.890000,144.250000,9.046000
